
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0292                          U6                                59   1     11  11   1 42         42 0 USB_VBUS            (3837-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0292                          U6                                59   1     12  12   1 43         43 0 USB_CONNECT         (3773-1-13)
40-0292                          U6                                59   1     13  13   1 44         44 0 USB_DM              (2907-36-13)
40-0292                          U6                                59   1     14  14   1 45         45 0 USB_DP              (2907-35-13)
40-0292                          U6                                59   1     15  15   1 46         46 0 SWDAT               (2907-27-13)
40-0292                          U6                                59   1     16  16   1 49         49 0 SWCLK               (2907-26-13)
40-0292                          U6                                59   1     17  17   1 50         50 0 DWM_SPI_CSn         (2907-2-13)
40-0292                          U6                                59   1     18  18   1 26         26 0 INFRA_TRA_R         (2907-20-13)
40-0292                          U6                                59   1     19  19   1 27         27 0 IR_LED              (2907-25-13)
40-0292                          U6                                59   1     20  20   1 28         28 0                     (0-0-0)
40-0292                          U6                                59   1     21  21   1 55         55 0 DWM_WAKEUP          (3031-5-13)
40-0292                          U6                                59   1     22  22   1 56         56 0                     (0-0-0)
40-0292                          U6                                59   1     23  23   1 57         57 0                     (0-0-0)
40-0292                          U6                                59   1     24  24   1 58         58 0                     (0-0-0)
40-0292                          U6                                59   1     25  25   1 59         59 0 MPU_INT             (2907-37-13)
40-0292                          U6                                59   1     26  26   1 61         61 0 MPU_I2C_SCL         (2907-38-13)
40-0292                          U6                                59   1     27  27   1 62         62 0 MPU_I2C_SDA         (2907-39-13)
40-0292                          U6                                59   1     28  28   1 29         29 0 IR_LED_R            (3201-6-13)
40-0292                          U6                                59   1     29  29   1 30         30 0 IR_LED_L            (3201-4-13)
40-0292                          U6                                59   1     30  30   1 33         33 0                     (0-0-0)
40-0292                          U6                                59   1     31  31   1 34         34 0 SPI_LED_CK          (2907-21-13)
40-0292                          U6                                59   1     32  32   1 35         35 0                     (0-0-0)
40-0292                          U6                                59   1     33  33   1 36         36 0 SPI_LED_DO          (2907-22-13)
40-0292                          U6                                59   1     34  34   1 8           8 0                     (0-0-0)
40-0292                          U6                                59   1     35  35   1 9           9 0                     (0-0-0)
40-0292                          U6                                59   1     36  36   1 10         10 0                     (0-0-0)
40-0292                          U6                                59   1     37  37   1 11         11 0                     (0-0-0)
40-0292                          U6                                59   1     38  38   1 24         24 0                     (0-0-0)
40-0292                          U6                                59   1     39  39   1 25         25 0                     (0-0-0)
40-0292                          U6                                59   1     40  40   1 37         37 0                     (0-0-0)
40-0292                          U6                                59   1     41  41   1 38         38 0                     (0-0-0)
40-0292                          U6                                59   1     42  42   1 39         39 0                     (0-0-0)
40-0292                          U6                                59   1     43  43   1 40         40 0                     (0-0-0)
40-0292                          U6                                59   1     44  44   1 51         51 0 DWM_SPI_CLK         (2907-3-13)
40-0292                          U6                                59   1     45  45   1 52         52 0 DWM_SPI_MISO        (2907-4-13)
40-0292                          U6                                59   1     46  46   1 53         53 0 DWM_SPI_MOSI        (2907-5-13)
40-0292                          U6                                59   1     47  47   1 2           2 0                     (0-0-0)
40-0292                          U6                                59   1     48  48   1 3           3 0                     (0-0-0)
40-0292                          U6                                59   1     49  49   1 4           4 0                     (0-0-0)
40-0292                          U6                                59   1     50  50   1 54         54 0 DWM_IRQ             (2907-6-13)
40-0292                          U6                                59   1     51  51   1 5           5 0 XSIG011022          (3218-2-13)
40-0292                          U6                                59   1     52  52   1 6           6 0 XSIG011020          (3218-1-13)
40-0292                          U6                                59   1     53  53   1 7           7 0 RSTn                (3862-1-13)
40-0292                          U6                                59   1     54  54   1 1           1 0 VCC                 (43-2-13)
40-0292                          U6                                59   1     55  55   1 13         13 0 VCC                 (43-2-13)
40-0292                          U6                                59   2      1   1   2 19         19 0 VCC                 (43-2-13)
40-0292                          U6                                59   2      1   1   3 32         32 0 VCC                 (43-2-13)
40-0292                          U6                                59   2      1   1   4 48         48 0 VCC                 (43-2-13)
40-0292                          U6                                59   2      1   1   5 64         64 0 VCC                 (43-2-13)
40-0292                          U6                                59   3      1   1   6 18         18 0 GND                 (43-1-13)
40-0292                          U6                                59   3      1   1   7 31         31 0 GND                 (43-1-13)
40-0292                          U6                                59   3      1   1   8 47         47 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0292                          U6                                59   3      1   1   9 63         63 0 GND                 (43-1-13)
40-0292                          U6                                59   3      1   1  10 12         12 0 GND                 (43-1-13)
40-0301                          U7                                12   1      1   1   1 7           8 0                     (0-0-0)
40-0301                          U7                                12   1      2   2   1 21         22 0                     (0-0-0)
40-0301                          U7                                12   1      3   3   1 11         12 0 GND                 (43-1-13)
40-0301                          U7                                12   1      4   4   1 12         13 0 MPU_INT             (2907-37-13)
40-0301                          U7                                12   1      5   5   1 10         11 0 XSIG040009          (3837-2-13)
40-0301                          U7                                12   1      6   6   1 1           2 0 VCC                 (43-2-13)
40-0301                          U7                                12   1      7   7   1 20         21 0 GND                 (43-1-13)
40-0301                          U7                                12   1      8   8   1 9          10 0 GND                 (43-1-13)
40-0301                          U7                                12   1      9   9   1 22         23 0 VCC                 (43-2-13)
40-0301                          U7                                12   1     10  10   1 24         25 0 MPU_I2C_SDA         (2907-39-13)
40-0301                          U7                                12   1     11  11   1 23         24 0 MPU_I2C_SCL         (2907-38-13)
40-0301                          U7                                12   1     12  12   1 8           9 0 VCC                 (43-2-13)
40-0301                          U7                                12   2      1   1   2 13         14 0 VCC                 (43-2-13)
40-0301                          U7                                12   3      1   1   3 EXP         1 0 GND                 (43-1-13)
40-0301                          U7                                12   3      1   1   4 18         19 0 GND                 (43-1-13)
40-0301                          U7                                 0   4      1   1   5 2           3 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1   6 3           4 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1   7 4           5 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1   8 5           6 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1   9 6           7 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1  10 14         15 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1  11 15         16 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1  12 16         17 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1  13 17         18 1                     (0-0-0)
40-0301                          U7                                 0   4      1   1  14 19         20 1                     (0-0-0)
50-0038                          L1                                73   1      1   1   1 1           1 0 VBAT                (3792-2-13)
50-0038                          L1                                73   1      2   2   1 2           2 0 XSIG030175          (3218-6-13)
50-0038                          L2                                74   1      1   1   1 1           1 0 XSIG030141          (3125-10-13)
50-0038                          L2                                74   1      2   2   1 2           2 0 XSIG030142          (3125-11-13)
70-0002                          J6                                32   1      1   1   1 1           1 0 XSIG030273          (3843-1-13)
70-0002                          J6                                32   1      2   2   1 2           2 0 VBAT                (3792-2-13)
70-0002                          J9                                34   1      1   1   1 1           1 0 IR_LED_L_ADAPTED    (3201-1-13)
70-0002                          J9                                34   1      2   2   1 2           2 0 VCC                 (43-2-13)
70-0002                          J10                               33   1      1   1   1 1           1 0 IR_LED_R_ADAPTED    (3201-2-13)
70-0002                          J10                               33   1      2   2   1 2           2 0 VCC                 (43-2-13)
70-0028                          J1                                 1   1      1   1   1 1           1 0 MTR_L_1             (2907-16-13)
70-0028                          J1                                 1   1      2   2   1 2           2 0 MTR_L_2             (2907-7-13)
70-0028                          J1                                 1   1      3   3   1 3           3 0 INFRA_TRA_L         (2907-19-13)
70-0028                          J1                                 1   1      4   4   1 4           4 0 XSIG020140          (2950-2-13)
70-0028                          J1                                 1   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0028                          J1                                 1   1      6   6   1 6           6 0 GND                 (43-1-13)
70-0028                          J2                                 3   1      1   1   1 1           1 0 MTR_R_1             (2907-15-13)
70-0028                          J2                                 3   1      2   2   1 2           2 0 MTR_R_2             (2907-10-13)
70-0028                          J2                                 3   1      3   3   1 3           3 0 INFRA_TRA_R         (2907-20-13)
70-0028                          J2                                 3   1      4   4   1 4           4 0 XSIG020142          (2950-3-13)
70-0028                          J2                                 3   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0028                          J2                                 3   1      6   6   1 6           6 0 GND                 (43-1-13)
70-0028                          J3                                 2   1      1   1   1 1           1 0 VCC5                (2986-3-13)
70-0028                          J3                                 2   1      2   2   1 2           2 0 LED_CK_5V           (2986-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
70-0028                          J3                                 2   1      3   3   1 3           3 0 LED_DO_5V           (2986-2-13)
70-0028                          J3                                 2   1      4   4   1 4           4 0 GND                 (43-1-13)
70-0028                          J3                                 2   1      5   5   1 5           5 0 IR_LED_ADAPTED      (2986-5-13)
70-0028                          J3                                 2   1      6   6   1 6           6 0 VCC                 (43-2-13)
70-0060                          J11                               10   1      1   1   1 1           1 0 DWM_WAKEUP          (3031-5-13)
70-0060                          J11                               10   1      2   2   1 2           2 0 DWM_SPI_CSn         (2907-2-13)
70-0060                          J11                               10   1      3   3   1 3           3 0 VCC                 (43-2-13)
70-0060                          J11                               10   1      4   4   1 4           4 0 GND                 (43-1-13)
70-0060                          J12                               11   1      1   1   1 1           1 0 DWM_IRQ             (2907-6-13)
70-0060                          J12                               11   1      2   2   1 2           2 0 DWM_SPI_CLK         (2907-3-13)
70-0060                          J12                               11   1      3   3   1 3           3 0 DWM_SPI_MISO        (2907-4-13)
70-0060                          J12                               11   1      4   4   1 4           4 0 DWM_SPI_MOSI        (2907-5-13)
70-0065                          J5                                29   1      1   1   1 2           2 0 USB_DP              (2907-35-13)
70-0065                          J5                                29   1      2   2   1 3           3 0 USB_DM              (2907-36-13)
70-0065                          J5                                29   1      3   3   1 5           5 0 GND                 (43-1-13)
70-0065                          J5                                29   1      4   4   1 4           4 0                     (0-0-0)
70-0065                          J5                                29   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0065                          J5                                29   1      6   6   1 7           7 0 GND                 (43-1-13)
70-0065                          J5                                29   1      7   7   1 8           8 0 GND                 (43-1-13)
70-0065                          J5                                29   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0065                          J5                                29   1      9   9   1 1           1 0 USB_VBUS            (3837-1-13)
70-0081                          J4                                37   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J4                                37   1      2   2   1 2           2 0 SWDAT               (2907-27-13)
70-0081                          J4                                37   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J4                                37   1      4   4   1 4           4 0 SWCLK               (2907-26-13)
70-0081                          J4                                37   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J4                                37   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J4                                37   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J4                                37   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J4                                37   1      9   9   1 10         10 0 RSTn                (3862-1-13)
70-0081                          J4                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0099                          J7                                38   1      1   1   1 1           1 0 GND                 (43-1-13)
70-0099                          J7                                38   1      2   2   1 2           2 0                     (0-0-0)
70-0099                          J7                                38   1      3   3   1 3           3 0 XSIG030273          (3843-1-13)
80-0035                          SW1                               31   1      1   1   1 1           1 0 VCC                 (43-2-13)
80-0035                          SW1                               31   1      2   2   1 2           2 0 XSIG011041          (3218-3-13)
81-0013                          QZ1                               60   1      1   1   1 1           1 0 XSIG011022          (3218-2-13)
81-0013                          QZ1                               60   1      2   2   1 2           2 0 XSIG011020          (3218-1-13)
